class,word,importance
negative,president,0.09793
negative,politics,0.06678
negative,rwanda,0.02062
negative,congress,0.01449
negative,president paul,0.01329
negative,country,0.01325
negative,genocide,0.01285
negative,rwandan,0.01246
negative,real,0.01158
negative,watch,0.01065
negative,people,0.00991
negative,live,0.00981
negative,thank,0.00961
negative,women,0.00891
negative,african,0.00887
negative,youth,0.00884
negative,today,0.00877
negative,arrived,0.00842
negative,based,0.00838
negative,1994,0.0081
neutral,president,0.08137
neutral,rwanda,0.03335
neutral,politics,0.02967
neutral,country,0.02285
neutral,leadership,0.01808
neutral,watch,0.01741
neutral,paul,0.01711
neutral,arrived,0.01685
neutral,president paul,0.01673
neutral,africa,0.01509
neutral,video,0.01485
neutral,live,0.01468
neutral,lady,0.01461
neutral,rwandans,0.01459
neutral,congress,0.01334
neutral,right,0.01299
neutral,jeannette,0.01296
neutral,lady jeannette,0.01296
neutral,day,0.01213
neutral,ceo,0.01063
positive,politics,0.03711
positive,leadership,0.02065
positive,thank,0.01851
positive,africa,0.01835
positive,president,0.01657
positive,rwanda,0.01272
positive,rwandan,0.0105
positive,african,0.01042
positive,good,0.01035
positive,paul,0.00999
positive,right,0.00994
positive,country,0.00959
positive,women,0.009
positive,rwandans,0.00852
positive,arrived,0.00844
positive,political,0.00842
positive,year,0.00838
positive,chairman,0.00825
positive,national,0.0077
positive,real,0.00766
